#范例 
#URL链接文件(地址)|CMS名称|关键字|文件MD5
#字符前面加#将不会添加到识别中去
#Z-Blog
/license.txt|Z-Blog|z-blog|
/PLUGIN/BackupDB/plugin.xml|Z-Blog|z-blog|1dfb729fdb3f61e3000958636730e5de|
/PLUGIN/PingTool/plugin.xml|Z-Blog|z-blog|
/PLUGIN/PluginSapper/plugin.xml|Z-Blog|z-blog|
/PLUGIN/ThemeSapper/plugin.xml|Z-Blog|z-blog|
/SCRIPT/common.js|Z-Blog|z-blog|
/THEMES/default/TEMPLATE/catalog.html|Z-Blog|z-blog|
/THEMES/default/theme.xml|Z-Blog|z-blog|
/zb_system/DEFEND/default/footer.html|Z-Blog|z-blog|
/zb_system/DEFEND/thanks.html|Z-Blog|z-blog|
/zb_system/SCRIPT/common.js|Z-Blog|z-blog|
/zb_users/CACHE/updateinfo.txt|Z-Blog|z-blog|
/zb_users/PLUGIN/AppCentre/plugin.xml|Z-Blog|z-blog|
/zb_users/PLUGIN/FileManage/plugin.xml|Z-Blog|z-blog|
/zb_users/THEME/default/theme.xml|Z-Blog|z-blog|
/zb_users/THEME/HTML5CSS3/theme.xml|Z-Blog|z-blog|
/zb_users/THEME/metro/TEMPLATE/footer.html|Z-Blog|z-blog|
/zb_users/THEME/metro/theme.xml|Z-Blog|z-blog|
