#范例 
#URL链接文件(地址)|CMS名称|关键字|文件MD5
#字符前面加#将不会添加到识别中去
#LjCMS(良精)
/|liangjing|liangjing|
/Global.asax|LjCMS|ljcms|
/Web.config|LjCMS|ljcms|
/Admin/MasterPage/Default.Master|LjCMS|ljcms|
/ashx/comment.ashx|LjCMS|ljcms|
/Ch/Index.Asp|LjCMS|ljcms|
/En/Index.Asp|LjCMS|ljcms|
/en/Module/AboutDetail.ascx|LjCMS|ljcms|
/Html_skin30/downclass_29_1.html|LjCMS|ljcms|
/HtmlAspx/ascx/CreateOrder.ascx|LjCMS|ljcms|
/Master/default.Master|LjCMS|ljcms|
/Module/AboutDetail.ascx|LjCMS|ljcms|
/T/skin01/enindex.html|LjCMS|ljcms|
/T/skin05/about.html|LjCMS|ljcms|
/Enrss.xml|liangjing|liangjing|
/Ch/Memberphoto.Asp|liangjing|liangjing|
/En/Foot.Asp|liangjing|liangjing|
/Html_skin30/enabout.html|liangjing|liangjing|
