#范例 
#URL链接文件(地址)|CMS名称|关键字|文件MD5
#字符前面加#将不会添加到识别中去
#FoosunCMS(风讯)
/Index.html|FoosunCMS|foosuncms|
/Apsearch.html|FoosunCMS|foosuncms|
/search.html|FoosunCMS|foosuncms|
/Tags.html|FoosunCMS|foosuncms|
/Admin/Collect/vssver2.scc|FoosunCMS|foosuncms|
/Admin/FreeLabel/vssver2.scc|FoosunCMS|foosuncms|
/Admin/News/images/vssver2.scc|FoosunCMS|foosuncms|
/Admin/News/lib/vssver2.scc|FoosunCMS|foosuncms|
/Admin/PublicSite/vssver2.scc|FoosunCMS|foosuncms|
/down/index.html|FoosunCMS|foosuncms|
/Foosun/Admin/Mall/Mall_Factory.Asp|FoosunCMS|foosuncms|
/FS_Inc/vssver2.scc|FoosunCMS|foosuncms|
/FS_InterFace/vssver2.scc|FoosunCMS|foosuncms|
/Install/SQL/Value/site_param.sql|FoosunCMS|foosuncms|
/manage/collect/MasterPage_Site.master|FoosunCMS|foosuncms|
/Templets/about/index.htm|FoosunCMS|foosuncms|
/Templets/pro/cms.htm|FoosunCMS|foosuncms|
/User/contr/lib/vssver2.scc|FoosunCMS|foosuncms|
/Users/All_User.Asp|FoosunCMS|foosuncms|
/Users/Mall/OrderPrint.Asp|FoosunCMS|foosuncms|
/xml/products/dotnetcmsversion.xml|FoosunCMS|foosuncms|
