#范例 
#URL链接文件(地址)|CMS名称|关键字|文件MD5
#字符前面加#将不会添加到识别中去
#DedeCMS(织梦)
/data/index.html|DedeCMS|dedecms|
/data/js/index.html|DedeCMS|dedecms|
/data/mytag/index.html|DedeCMS|dedecms|
/data/sessions/index.html|DedeCMS|dedecms|
/data/textdata/index.html|DedeCMS|dedecms|
/dede/action/css_body.css|DedeCMS|dedecms|
/dede/css_body.css|DedeCMS|dedecms|
/include/alert.htm|DedeCMS|dedecms|
/member/js/box.js|DedeCMS|dedecms|
/php/modpage/readme.txt|DedeCMS|dedecms|
/plus/sitemap.html|DedeCMS|dedecms|
/setup/license.html|DedeCMS|dedecms|
/special/index.html|DedeCMS|dedecms|
/favicon.ico|DedeCMS||21e51cee51c833c76dec691155d0d8a4|
/favicon.ico|DedeCMS||93cc5f5b4c2d22841e3f5c952db5116a|
/favicon.ico|DedeCMS||93cc5f5b4c2d22841e3f5c952db5116a|
/favicon.ico|DedeCMS||93cc5f5b4c2d22841e3f5c952db5116a|
/plus/img/wbg.gif|DedeCMS||6e8b9b8af42923fa0ecf89c0054e4091|
/data/admin/ver.txt|DedeCMS||00f2e7ba5cdd5129b55c6805c214743d|
/data/admin/ver.txt|DedeCMS||e270a789027613c8d3cc4195c4e05134|
/dede/img/admin_top_logo.gif|DedeCMS||1e78c168da8271af6538b00e4baf53d5|
/member/images/base.css|DedeCMS|dedecms|25a56fa7119fd0792f0eb3e4749b86c9|
/member/images/member.gif|DedeCMS||9e41920b6e9a04a55e886589ac12146a|
/member/templets/images/login_logo.gif|DedeCMS||15e2e455b176f7b1d49e5ca3a4f79f5d|
/houtai/img/admin_top_logo.gif|DedeCMS||1e78c168da8271af6538b00e4baf53d5|
/member/images/member.gif|DedeCMS||9e41920b6e9a04a55e886589ac12146a|
/member/templets/images/login_logo.gif|DedeCMS||15e2e455b176f7b1d49e5ca3a4f79f5d|
/dede/templets/article_coonepage_rule.htm|DedeCMS|dedecms|371fe4fd4c3085b112867d54d531ea6c|
/plus/img/wbg.gif|DedeCMS||6e8b9b8af42923fa0ecf89c0054e4091|
/data/admin/allowurl.txt|DedeCMS||324b52fafc7b532b45e63f1d0585c05d|
/data/admin/allowurl.txt|DedeCMS|dedecms|324b52fafc7b532b45e63f1d0585c05d|
/templets/default/style/dedecms.css|DedeCMS|dedecms|d02a1fb2710a28077507473ef0734c90|
/templets/default/style/dedecms.css|DedeCMS||17680cecac7460613563251286c4eb03|
/member/images/dzh_logo.gif|DedeCMS||412f80bbedc1e3c62b7f5a5038a550e6|	
/data/admin/allowurl.txt|DedeCMS|dedecms|dda6f3b278f65bd77ac556bf16166a0c|
/templets/default/style/dedecms.css|DedeCMS|dedecms|cb4ff97d66bbaa15b2fcd4f5ba473449|
/company/template/default/search_list.htm|DedeCMS|dedecms|
